dataset,class,shap_top5,lime_top5,overlap,jaccard
CICIDS2017,Benign,"['Bwd Packet Length Std', 'Bwd Packet Length Mean', 'Bwd IAT Max', 'Fwd IAT Total', 'Flow IAT Max']","['Packet Length Std', 'Flow IAT Std', 'Bwd IAT Std', 'Packet Length Mean', 'Fwd IAT Max']",[],0.0
CICIDS2017,Bot,"['Bwd Packet Length Mean', 'Bwd Packet Length Max', 'Bwd Packet Length Std', 'Avg Packet Size', 'Bwd IAT Std']","['Avg Packet Size', 'Packet Length Std', 'Flow IAT Std', 'Packet Length Mean', 'Fwd IAT Std']",['Avg Packet Size'],0.1111111111111111
CICIDS2017,DDoS,"['Bwd Packet Length Max', 'Avg Packet Size', 'Fwd Seg Size Min', 'Fwd IAT Max', 'Fwd IAT Std']","['Packet Length Max', 'Flow IAT Mean', 'Fwd Seg Size Min', 'Fwd IAT Max', 'Fwd IAT Std']","['Fwd Seg Size Min', 'Fwd IAT Max', 'Fwd IAT Std']",0.42857142857142855
UNSWNB15,Analysis,"['dmean', 'djit', 'sbytes', 'dbytes', 'trans_depth']","['smean', 'ackdat', 'dloss', 'sload', 'trans_depth']",['trans_depth'],0.1111111111111111
UNSWNB15,Backdoor,"['smean', 'dmean', 'ct_src_dport_ltm', 'sloss', 'dbytes']","['dmean', 'dload', 'dloss', 'sload', 'ct_dst_sport_ltm']",['dmean'],0.1111111111111111
UNSWNB15,DoS,"['smean', 'ackdat', 'ct_src_dport_ltm', 'dload', 'sbytes']","['tcprtt', 'ct_src_dport_ltm', 'dloss', 'djit', 'trans_depth']",['ct_src_dport_ltm'],0.1111111111111111
CICIDS2018,Benign,"['Fwd Pkt Len Max', 'Dst Port', 'Fwd IAT Mean', 'Flow IAT Max', 'Fwd IAT Max']","['Src Port', 'Fwd Pkt Len Max', 'Fwd IAT Mean', 'Flow IAT Max', 'Fwd IAT Std']","['Flow IAT Max', 'Fwd IAT Mean', 'Fwd Pkt Len Max']",0.42857142857142855
CICIDS2018,DDoS attacks-LOIC-HTTP,"['Idle Min', 'Fwd Pkt Len Max', 'Dst Port', 'Flow IAT Min', 'Flow IAT Max']","['Fwd Seg Size Min', 'Fwd Pkt Len Max', 'Flow IAT Min', 'Fwd IAT Mean', 'Flow IAT Max']","['Flow IAT Max', 'Flow IAT Min', 'Fwd Pkt Len Max']",0.42857142857142855
