2026-04-04 16:16:53 | xai_ids.evaluation   | INFO     | 
test Evaluation Results:
2026-04-04 16:16:53 | xai_ids.evaluation   | INFO     |   Accuracy:  1.0000
2026-04-04 16:16:53 | xai_ids.evaluation   | INFO     |   Precision: 1.0000
2026-04-04 16:16:53 | xai_ids.evaluation   | INFO     |   Recall:    1.0000
2026-04-04 16:16:53 | xai_ids.evaluation   | INFO     |   F1-Score:  1.0000
2026-04-04 16:16:54 | xai_ids.explainability.counterfactual | WARNING  | DiCE failed (No module named 'dice_ml'), using fallback counterfactual generation
2026-04-04 16:16:54 | xai_ids.evaluation.adversarial | WARNING  | adversarial-robustness-toolbox not installed; skipping
2026-04-04 16:16:54 | xai_ids.evaluation.adversarial | WARNING  | adversarial-robustness-toolbox not installed; skipping
2026-04-04 16:16:54 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
2026-04-04 16:16:54 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
2026-04-04 16:16:54 | xai_ids.evaluation.drift | INFO     | Split 1: train_acc=0.9100, test_acc=0.5100, f1=0.4972, drift_rate=0.0%
2026-04-04 16:16:54 | xai_ids.evaluation.drift | INFO     | Split 1: train_acc=0.9100, test_acc=0.5100, f1=0.4972, drift_rate=0.0%
2026-04-04 16:16:54 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
2026-04-04 16:16:54 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
2026-04-04 16:16:54 | xai_ids.evaluation.drift | INFO     | Split 2: train_acc=0.9450, test_acc=0.4500, f1=0.4415, drift_rate=0.0%
2026-04-04 16:16:54 | xai_ids.evaluation.drift | INFO     | Split 2: train_acc=0.9450, test_acc=0.4500, f1=0.4415, drift_rate=0.0%
2026-04-04 16:16:54 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
2026-04-04 16:16:54 | xai_ids.evaluation.drift | INFO     | Feature drift: 0/5 features drifted (0.0%)
2026-04-04 16:16:54 | xai_ids.evaluation.drift | INFO     | Split 3: train_acc=0.9367, test_acc=0.5600, f1=0.5436, drift_rate=0.0%
2026-04-04 16:16:54 | xai_ids.evaluation.drift | INFO     | Split 3: train_acc=0.9367, test_acc=0.5600, f1=0.5436, drift_rate=0.0%
2026-04-04 16:16:54 | xai_ids.evaluation.drift | INFO     | Feature drift: 1/5 features drifted (20.0%)
2026-04-04 16:16:54 | xai_ids.evaluation.drift | INFO     | Feature drift: 1/5 features drifted (20.0%)
2026-04-04 16:16:54 | xai_ids.evaluation.drift | INFO     | Split 4: train_acc=0.9325, test_acc=0.5500, f1=0.5475, drift_rate=20.0%
2026-04-04 16:16:54 | xai_ids.evaluation.drift | INFO     | Split 4: train_acc=0.9325, test_acc=0.5500, f1=0.5475, drift_rate=20.0%
2026-04-04 16:16:54 | xai_ids.explainability.counterfactual | WARNING  | DiCE failed (No module named 'dice_ml'), using fallback counterfactual generation
2026-04-04 16:16:54 | xai_ids.evaluation.cross_dataset | INFO     | Feature mapping: 5/5 shared features
2026-04-04 16:16:54 | xai_ids.evaluation.cross_dataset | INFO     | Feature mapping: 5/5 shared features
2026-04-04 16:16:54 | xai_ids.evaluation.cross_dataset | INFO     | Cross-dataset source -> target: ID acc=0.9550, CD acc=0.5700, drop=0.3850
2026-04-04 16:16:54 | xai_ids.evaluation.cross_dataset | INFO     | Cross-dataset source -> target: ID acc=0.9550, CD acc=0.5700, drop=0.3850
2026-04-04 16:16:54 | xai_ids.generate_sample | INFO     | Generating synthetic dataset with 2000 samples
2026-04-04 16:16:54 | xai_ids.generate_sample | INFO     |   Generated 1200 samples for 'BENIGN'
2026-04-04 16:16:54 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DoS Hulk'
2026-04-04 16:16:54 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'PortScan'
2026-04-04 16:16:54 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DDoS'
2026-04-04 16:16:54 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DoS GoldenEye'
2026-04-04 16:16:54 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'FTP-Patator'
2026-04-04 16:16:54 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'SSH-Patator'
2026-04-04 16:16:54 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DoS slowloris'
2026-04-04 16:16:54 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DoS Slowhttptest'
2026-04-04 16:16:54 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Bot'
2026-04-04 16:16:54 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Web Attack - Brute Force'
2026-04-04 16:16:54 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Web Attack - XSS'
2026-04-04 16:16:54 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Infiltration'
2026-04-04 16:16:54 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Web Attack - Sql Injection'
2026-04-04 16:16:54 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'Heartbleed'
2026-04-04 16:16:55 | xai_ids.generate_sample | INFO     | Saved synthetic dataset: /tmp/tmpeag_mjs2/sample_cicids2017.csv (4000 rows)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     | Starting data cleaning: 4000 rows
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     | Replaced infinite values -> 0 rows affected
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     | Dropped NaN rows: 0 removed
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     | Dropped duplicates: 0 removed
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     | Cleaning complete: 4000 -> 4000 rows (0 removed, 0.0%)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     | Encoding labels...
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     | Label mapping (15 classes):
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     |   0: BENIGN (1200 samples)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     |   1: Bot (200 samples)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     |   2: DDoS (200 samples)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     |   3: DoS GoldenEye (200 samples)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     |   4: DoS Hulk (200 samples)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     |   5: DoS Slowhttptest (200 samples)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     |   6: DoS slowloris (200 samples)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     |   7: FTP-Patator (200 samples)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     |   8: Heartbleed (200 samples)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     |   9: Infiltration (200 samples)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     |   10: PortScan (200 samples)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     |   11: SSH-Patator (200 samples)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     |   12: Web Attack - Brute Force (200 samples)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     |   13: Web Attack - Sql Injection (200 samples)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     |   14: Web Attack - XSS (200 samples)
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     | Splitting data: test=0.2, val=0.1, seed=42
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     | Train: 2800 samples
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     | Val:   400 samples
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     | Test:  800 samples
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     | Scaling features with StandardScaler...
2026-04-04 16:16:55 | xai_ids.preprocessing | INFO     | Scaling complete. Train mean: -0.0000, Train std: 1.0000
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     | Generating synthetic dataset with 500 samples
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 300 samples for 'BENIGN'
2026-04-04 16:17:08 | xai_ids.generate_sample | INFO     |   Generated 200 samples for 'DoS Hulk'
